# Fork: 1 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 65423.471 ops/ms
# Warmup Iteration   2: 95068.592 ops/ms
# Warmup Iteration   3: 98166.714 ops/ms
# Warmup Iteration   4: 87922.446 ops/ms
# Warmup Iteration   5: 92605.117 ops/ms
# Warmup Iteration   6: 89745.798 ops/ms
# Warmup Iteration   7: 92866.820 ops/ms
# Warmup Iteration   8: 94808.878 ops/ms
# Warmup Iteration   9: 99632.366 ops/ms
# Warmup Iteration  10: 101921.094 ops/ms
# Warmup Iteration  11: 102071.478 ops/ms
# Warmup Iteration  12: 93508.342 ops/ms
# Warmup Iteration  13: 92991.368 ops/ms
# Warmup Iteration  14: 92372.195 ops/ms
# Warmup Iteration  15: 92672.788 ops/ms
# Warmup Iteration  16: 99742.767 ops/ms
# Warmup Iteration  17: 96132.248 ops/ms
# Warmup Iteration  18: 101702.464 ops/ms
# Warmup Iteration  19: 87353.772 ops/ms
# Warmup Iteration  20: 101017.578 ops/ms
Iteration   1: 93321.585 ops/ms
Iteration   2: 100596.382 ops/ms
Iteration   3: 93263.371 ops/ms
Iteration   4: 98496.019 ops/ms
Iteration   5: 93506.021 ops/ms
Iteration   6: 92960.678 ops/ms
Iteration   7: 101165.908 ops/ms
Iteration   8: 92220.483 ops/ms
Iteration   9: 102437.560 ops/ms
Iteration  10: 101741.560 ops/ms
Iteration  11: 101408.298 ops/ms
Iteration  12: 101729.385 ops/ms
Iteration  13: 101067.958 ops/ms
Iteration  14: 91901.328 ops/ms
Iteration  15: 91029.300 ops/ms
Iteration  16: 88734.023 ops/ms
Iteration  17: 97031.885 ops/ms
Iteration  18: 98330.314 ops/ms
Iteration  19: 92072.746 ops/ms
Iteration  20: 97024.427 ops/ms

Result : 96501.962 ?(95%) 2073.205 ?(99%) 2833.941 ops/ms
  Statistics: (min, avg, max) = (88734.023, 96501.962, 102437.560), stdev = 4429.840
  Confidence intervals: 95% [94428.757, 98575.166], 99% [93668.020, 99335.903]


# Fork: 2 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 65055.428 ops/ms
# Warmup Iteration   2: 92433.919 ops/ms
# Warmup Iteration   3: 96903.085 ops/ms
# Warmup Iteration   4: 98880.735 ops/ms
# Warmup Iteration   5: 81267.412 ops/ms
# Warmup Iteration   6: 99643.766 ops/ms
# Warmup Iteration   7: 101602.179 ops/ms
# Warmup Iteration   8: 95744.318 ops/ms
# Warmup Iteration   9: 99778.012 ops/ms
# Warmup Iteration  10: 102985.189 ops/ms
# Warmup Iteration  11: 102580.246 ops/ms
# Warmup Iteration  12: 98607.860 ops/ms
# Warmup Iteration  13: 98253.263 ops/ms
# Warmup Iteration  14: 100656.461 ops/ms
# Warmup Iteration  15: 102109.170 ops/ms
